date,time,platform,caption,image_url,card_url
2026-07-12,18:00,Instagram,"UFC Fight Night: Du Plessis vs. Usman: our model reads TAVARES 81% over BARRIAULT — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #TAVARES #BARRIAULT",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-13,12:00,TikTok,"UFC Fight Night: Du Plessis vs. Usman: our model reads TAVARES 81% over BARRIAULT — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #TAVARES #BARRIAULT",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-13,18:00,Instagram,"Coin-Flip Corner 🪙 SMITH vs HOLLAND — our model has it just 53%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #SMITH #HOLLAND",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-14,12:00,TikTok,"Coin-Flip Corner 🪙 SMITH vs HOLLAND — our model has it just 53%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #SMITH #HOLLAND",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-14,18:00,Instagram,"UFC Fight Night: Du Plessis vs. Usman main event — our model: TAVARES 81%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #TAVARES #BARRIAULT",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-15,12:00,TikTok,"UFC Fight Night: Du Plessis vs. Usman main event — our model: TAVARES 81%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #TAVARES #BARRIAULT",https://cannonfightlab.com/social/ufc-fight-night-du-plessis-vs-usman-2563/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-du-plessis-vs-usman-2563.html
2026-07-19,18:00,Instagram,"UFC Fight Night: Ankalaev vs. Rountree Jr: our model reads ANKALAEV 82% over JR. — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #ANKALAEV",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-20,12:00,TikTok,"UFC Fight Night: Ankalaev vs. Rountree Jr: our model reads ANKALAEV 82% over JR. — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #ANKALAEV",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-20,18:00,Instagram,"BONFIM 61% over SOLA, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #BONFIM #SOLA",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-21,12:00,TikTok,"BONFIM 61% over SOLA, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #BONFIM #SOLA",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-21,18:00,Instagram,"UFC Fight Night: Ankalaev vs. Rountree Jr main event — our model: ANKALAEV 82%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #ANKALAEV",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-22,12:00,TikTok,"UFC Fight Night: Ankalaev vs. Rountree Jr main event — our model: ANKALAEV 82%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #ANKALAEV",https://cannonfightlab.com/social/ufc-fight-night-ankalaev-vs-rountree-jr-2619/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-ankalaev-vs-rountree-jr-2619.html
2026-07-26,18:00,Instagram,"UFC Fight Night: Medic vs. Rodriguez: our model reads MEDIC 84% over RODRIGUEZ — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-27,12:00,TikTok,"UFC Fight Night: Medic vs. Rodriguez: our model reads MEDIC 84% over RODRIGUEZ — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-27,18:00,Instagram,"Cardio check, UFC Fight Night: Medic vs. Rodriguez: several model favorites our data quietly flags as late-faders. Who still holds up in round 3?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/cardio-flagged__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-28,12:00,TikTok,"Cardio check, UFC Fight Night: Medic vs. Rodriguez: several model favorites our data quietly flags as late-faders. Who still holds up in round 3?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/cardio-flagged__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-28,18:00,Instagram,"Coin-Flip Corner 🪙 GUSKOV vs BLACHOWICZ — our model has it just 53%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #GUSKOV #BLACHOWICZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-29,12:00,TikTok,"Coin-Flip Corner 🪙 GUSKOV vs BLACHOWICZ — our model has it just 53%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #GUSKOV #BLACHOWICZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-29,18:00,Instagram,"MEDIC 84% over RODRIGUEZ, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-30,12:00,TikTok,"MEDIC 84% over RODRIGUEZ, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-30,18:00,Instagram,"UFC Fight Night: Medic vs. Rodriguez main event — our model: MEDIC 84%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-07-31,12:00,TikTok,"UFC Fight Night: Medic vs. Rodriguez main event — our model: MEDIC 84%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MEDIC #RODRIGUEZ",https://cannonfightlab.com/social/ufc-fight-night-medic-vs-rodriguez-2620/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-medic-vs-rodriguez-2620.html
2026-08-09,18:00,Instagram,"UFC 330: our model reads MAKHACHEV 86% over GARRY — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFC330 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MAKHACHEV #GARRY",https://cannonfightlab.com/social/ufc-330-makhachev-vs-machado-garry-118/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-330-makhachev-vs-machado-garry-118.html
2026-08-10,12:00,TikTok,"UFC 330: our model reads MAKHACHEV 86% over GARRY — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFC330 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MAKHACHEV #GARRY",https://cannonfightlab.com/social/ufc-330-makhachev-vs-machado-garry-118/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-330-makhachev-vs-machado-garry-118.html
2026-08-10,18:00,Instagram,"UFC 330 main event — our model: MAKHACHEV 86%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFC330 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MAKHACHEV #GARRY",https://cannonfightlab.com/social/ufc-330-makhachev-vs-machado-garry-118/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-330-makhachev-vs-machado-garry-118.html
2026-08-11,12:00,TikTok,"UFC 330 main event — our model: MAKHACHEV 86%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFC330 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MAKHACHEV #GARRY",https://cannonfightlab.com/social/ufc-330-makhachev-vs-machado-garry-118/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-330-makhachev-vs-machado-garry-118.html
2026-08-16,18:00,Instagram,"UFC Fight Night: Hernandez vs. Rodrigues: our model reads HERNANDEZ 89% over RODRIGUES — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
2026-08-17,12:00,TikTok,"UFC Fight Night: Hernandez vs. Rodrigues: our model reads HERNANDEZ 89% over RODRIGUES — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
2026-08-17,18:00,Instagram,"HERNANDEZ 89% over RODRIGUES, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
2026-08-18,12:00,TikTok,"HERNANDEZ 89% over RODRIGUES, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
2026-08-18,18:00,Instagram,"UFC Fight Night: Hernandez vs. Rodrigues main event — our model: HERNANDEZ 89%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
2026-08-19,12:00,TikTok,"UFC Fight Night: Hernandez vs. Rodrigues main event — our model: HERNANDEZ 89%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFCFightNight #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #HERNANDEZ #RODRIGUES",https://cannonfightlab.com/social/ufc-fight-night-hernandez-vs-rodrigues-2626/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-fight-night-hernandez-vs-rodrigues-2626.html
